Subject,Mutant,Failed TCs,Total Probes,Top Condition,Max Suspicion,Status,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17
tcas,v10,14,6,c6,0.9041,ACCEPTED,0.5047,0.6086,0.5299,0.5887,0.6464,0.9041,,,,,,,,,,,
tcas,v11,14,6,c2,0.6086,ACCEPTED,0.5047,0.6086,0.5299,0.5887,0.0,0.0,,,,,,,,,,,
tcas,v12,70,6,c6,0.8854,ACCEPTED,0.5049,0.5208,0.2243,0.532,0.575,0.8854,,,,,,,,,,,
tcas,v13,4,6,c6,0.8924,ACCEPTED,0.5047,0.5992,0.5585,0.5672,0.6378,0.8924,,,,,,,,,,,
tcas,v14,50,6,c1,0.5049,ACCEPTED,0.5049,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
tcas,v15,10,6,c6,0.8464,ACCEPTED,0.5047,0.5873,0.0,0.624,0.6281,0.8464,,,,,,,,,,,
tcas,v16,70,6,c6,0.9138,ACCEPTED,0.5049,0.6135,0.4503,0.6105,0.6534,0.9138,,,,,,,,,,,
tcas,v17,35,6,c6,0.9109,ACCEPTED,0.5048,0.6104,0.5127,0.5946,0.6489,0.9109,,,,,,,,,,,
tcas,v18,29,6,c6,0.8402,ACCEPTED,0.5048,0.6099,0.6226,0.557,0.6482,0.8402,,,,,,,,,,,
tcas,v19,19,6,c6,0.9121,ACCEPTED,0.5048,0.609,0.6258,0.5546,0.647,0.9121,,,,,,,,,,,
tcas,v2,67,6,c6,0.7986,ACCEPTED,0.5049,0.6132,0.5897,0.5738,0.653,0.7986,,,,,,,,,,,
tcas,v20,18,6,c6,0.9164,ACCEPTED,0.5048,0.609,0.5947,0.5681,0.6469,0.9164,,,,,,,,,,,
tcas,v21,16,6,c6,0.9165,ACCEPTED,0.5048,0.6088,0.6996,0.5052,0.6466,0.9165,,,,,,,,,,,
tcas,v22,11,6,c5,0.646,ACCEPTED,0.5047,0.6084,0.3225,0.6237,0.646,0.0,,,,,,,,,,,
